id,都道府県コード,名称,読み,検索文字列,住所,緯度,経度,分類1,分類2,分類3
010000037400,01,箱館沖之口役所跡,はこだておきのくちやくしよあと,箱館沖之口役所跡,北海道 函館市 大町,41.772323,140.714607,施設,史跡・文化財・遺跡,史跡・文化財
010000037500,01,箱館産物会所跡,はこだてさんぶつかいしよあと,箱館産物会所跡,北海道 函館市 大町,41.772323,140.714607,施設,史跡・文化財・遺跡,史跡・文化財
010000037600,01,誠終舎跡,せいしゆうしやあと,誠終舎跡,北海道 函館市 大町,41.772323,140.714607,施設,史跡・文化財・遺跡,史跡・文化財
010000038100,01,函館中華会館,はこだてちゆうかかいかん,函館中華会館,北海道 函館市 大町,41.768048,140.709465,施設,史跡・文化財・遺跡,建築物・住宅
010000038300,01,諸術調所跡,しよじゆつしらべしよあと,諸術調所跡,北海道 函館市 弥生町,41.766610,140.710291,施設,史跡・文化財・遺跡,史跡・文化財
010000038600,01,弁天岬台場跡,べんてんさきだいばあと,弁天岬台場跡,北海道 函館市 弁天町,41.774406,140.704144,施設,城・軍事施設,台場跡
010000038700,01,太刀川家住宅店舗,たちかわけじゆうたくてんぽ,太刀川家住宅店舗,北海道 函館市 弁天町,41.771363,140.708660,施設,史跡・文化財・遺跡,建築物・住宅
010000040800,01,箱館医学所跡,はこだていがくしよあと,箱館医学所跡,北海道 函館市 船見町,41.767199,140.700445,施設,史跡・文化財・遺跡,史跡・文化財
010000041900,01,山上大神宮,やまのうえだいじんぐう,山上大神宮,北海道 函館市 船見町15番1号,41.766689,140.701523,施設,埋葬・信仰・宗教施設,神社
010000042000,01,称名寺,しようみようじ,称名寺,北海道 函館市 船見町18番14号,41.769638,140.701920,施設,埋葬・信仰・宗教施設,寺院
010000042100,01,実行寺,じつぎようじ,実行寺,北海道 函館市 船見町18番18号,41.769318,140.702484,施設,埋葬・信仰・宗教施設,寺院
010000042200,01,旧ロシア領事館,きゆうろしありようじかん,旧ロシア領事館,北海道 函館市 船見町,41.767642,140.702021,施設,史跡・文化財・遺跡,建築物・住宅
010000042500,01,函館外人墓地,はこだてがいじんぼち,函館外人墓地,北海道 函館市 船見町,41.768308,140.697086,施設,埋葬・信仰・宗教施設,墓所
010000042600,01,真言寺,しんごんじ,真言寺,北海道 函館市 船見町20番20号,41.769104,140.699310,施設,埋葬・信仰・宗教施設,寺院
010000042700,01,高龍寺,こうりゆうじ,高龍寺,北海道 函館市 船見町21番11号,41.769115,140.699646,施設,埋葬・信仰・宗教施設,寺院
010000043000,01,旧イギリス領事館,きゆういぎりすりようじかん,旧イギリス領事館,北海道 函館市 元町,41.765950,140.710658,施設,史跡・文化財・遺跡,建築物・住宅
010000043100,01,日本基督教団函館教会,にほんきりすときようだんはこだてきようかい,日本基督教団函館教会,北海道 函館市 元町,41.764563,140.713434,施設,埋葬・信仰・宗教施設,教会
010000043300,01,箱館奉行所跡,はこだてぶぎようしよあと,箱館奉行所跡,北海道 函館市 元町,41.765687,140.709760,施設,史跡・文化財・遺跡,史跡・文化財
010000043400,01,旧北海道庁函館支庁庁舎,きゆうほつかいどうちようはこだてしちようちようしや,旧北海道庁函館支庁庁舎,北海道 函館市 元町,41.765221,140.709526,施設,史跡・文化財・遺跡,建築物・住宅
010000043500,01,旧函館区公会堂,きゆうはこだてくこうかいどう,旧函館区公会堂,北海道 函館市 元町,41.765022,140.708935,施設,埋葬・信仰・宗教施設,お堂
010000043600,01,真宗大谷派函館別院,しんしゆうおおたにははこだてべついん,真宗大谷派函館別院,北海道 函館市 元町16番15号,41.763390,140.714447,施設,埋葬・信仰・宗教施設,寺院
010000043700,01,函館ハリストス正教会,はこだてはりすとすせいきようかい,函館ハリストス正教会,北海道 函館市 元町,41.762791,140.712200,施設,埋葬・信仰・宗教施設,教会
010000043800,01,函館元町カトリック教会,はこだてもとまちかとりつくきようかい,函館元町カトリック教会,北海道 函館市 元町,41.763266,140.712921,施設,埋葬・信仰・宗教施設,教会
010000043900,01,日本聖公会函館聖ヨハネ教会,にほんせいこうかいはこだてせいよはねきようかい,日本聖公会函館聖ヨハネ教会,北海道 函館市 元町,41.762540,140.712811,施設,埋葬・信仰・宗教施設,教会
010000044500,01,函館護国神社,はこだてごこくじんじや,函館護国神社,北海道 函館市 青柳町9番23号,41.759911,140.714661,施設,埋葬・信仰・宗教施設,神社
010000045100,01,旧函館博物館一号館・函館博物館二号館,きゆうはこだてはくぶつかんいちごうかん・はこだてはくぶつかんにごうかん,旧函館博物館一号館・函館博物館二号館,北海道 函館市 青柳町,41.756580,140.715278,施設,史跡・文化財・遺跡,建築物・住宅
010000045300,01,天祐寺,てんゆうじ,天祐寺,北海道 函館市 青柳町27番26号,41.758934,140.719147,施設,埋葬・信仰・宗教施設,寺院
010000045400,01,新善光寺,しんぜんこうじ,新善光寺,北海道 函館市 青柳町37番17号,41.755955,140.720383,施設,埋葬・信仰・宗教施設,寺院
010000045500,01,高野寺,こうやじ,高野寺,北海道 函館市 住吉町12番23号,41.753689,140.717682,施設,埋葬・信仰・宗教施設,寺院
